timestamp,tempA,otemp,lumA,rso1A,rso2A,rso3A,rso4A,hour,minute,second
2025-04-02T16:19:51.278533,18.018,14.23,2.565,,,,,18.0,16.0,3.0
2025-04-02T16:19:53.836787,17.031,13.98,2.32,,,,,18.0,28.0,55.0
2025-04-02T16:19:56.384879,16.757,11.8,0.757,,,,,20.0,39.0,38.0
2025-04-02T16:19:58.918837,14.686,10.27,0.166,,,,,0.0,9.0,45.0
2025-04-02T16:20:01.467372,13.43,12.15,1.078,,,,,3.0,43.0,5.0
2025-04-02T16:20:04.025259,14.22,16.02,4.161,,,,,7.0,16.0,25.0
2025-04-02T16:20:06.561149,16.368,18.0,4.208,,,,,10.0,46.0,25.0
2025-04-02T16:20:09.113529,17.961,18.0,4.223,,,,,14.0,19.0,45.0
2025-04-02T16:20:11.637096,18.173,14.74,3.171,,,,,17.0,49.0,45.0
2025-04-02T16:20:14.191440,16.618,11.25,0.244,,,,,21.0,23.0,5.0
2025-04-02T16:20:16.732790,14.392,10.4,0.166,,,,,0.0,54.0,45.0
2025-04-02T16:20:19.273997,13.469,12.82,1.546,,,,,4.0,24.0,45.0
2025-04-02T16:20:21.819492,14.634,16.86,4.217,,,,,7.0,56.0,25.0
2025-04-02T16:20:24.373930,16.776,18.0,4.203,,,,,11.0,29.0,45.0
2025-04-02T16:20:26.939985,18.132,18.0,4.22,,,,,15.0,3.0,5.0
2025-04-02T16:20:29.486903,17.937,13.9,2.286,,,,,18.0,36.0,25.0
2025-04-02T16:20:32.048295,16.135,10.85,0.166,,,,,22.0,1.0,25.0
2025-04-02T16:20:34.591104,14.074,10.64,0.166,,,,,1.0,33.0,5.0
2025-04-02T16:20:37.136489,13.54,13.52,0.0,,,,,5.0,4.0,45.0
2025-04-02T16:20:39.670747,15.013,17.65,0.0,,,,,8.0,36.0,25.0
2025-04-02T16:20:42.222583,17.114,18.0,0.0,,,,,12.0,9.0,45.0
2025-04-02T16:20:44.758736,18.327,17.31,0.0,,,,,15.0,41.0,25.0
2025-04-02T16:20:47.294603,17.724,13.24,0.0,,,,,19.0,11.0,25.0
2025-04-02T16:20:49.847858,15.674,10.52,0.0,,,,,22.0,44.0,45.0
2025-04-02T16:20:52.398910,13.825,11.05,0.0,,,,,2.0,18.0,5.0
2025-04-02T16:20:54.963581,13.736,14.36,0.0,,,,,5.0,49.0,45.0
2025-04-02T16:20:57.506392,15.538,18.0,0.0,,,,,9.0,23.0,5.0
