timestamp;tempA;otemp;lumA;rso1A;rso2A;rso3A;rso4A;hour;minute;second
2025-04-02T16:35:20.095741;17.615;13.5;10.0;138.406;138.406;157.001;157.001;18.0;44.0;52.0
2025-04-02T16:35:22.642458;15.663;10.37;1.278;138.406;138.406;157.001;157.001;22.0;14.0;52.0
2025-04-02T16:35:25.199931;13.646;10.29;1.278;138.406;138.406;157.001;157.001;1.0;49.0;52.0
2025-04-02T16:35:27.747182;13.105;13.28;10.0;138.406;138.406;157.001;157.001;5.0;16.0;32.0
2025-04-02T16:35:30.292928;14.619;17.41;10.0;138.406;138.406;157.001;157.001;8.0;48.0;12.0
2025-04-02T16:35:32.826966;16.832;18.0;10.0;138.406;138.406;157.001;157.001;12.0;19.0;52.0
2025-04-02T16:35:35.403105;18.09;16.83;10.0;138.406;138.406;157.001;157.001;15.0;54.0;52.0
2025-04-02T16:35:37.939810;17.316;12.72;10.0;138.406;138.406;157.001;157.001;19.0;26.0;32.0
2025-04-02T16:35:40.465310;15.187;10.03;0.239;-118.807;-118.807;157.001;157.001;22.0;56.0;32.0
2025-04-02T16:35:43.033694;13.367;10.67;0.239;-118.807;-118.807;157.001;157.001;2.0;29.0;52.0
2025-04-02T16:35:45.563515;13.282;14.11;3.464;-118.807;-118.807;157.001;157.001;6.0;1.0;32.0
2025-04-02T16:35:48.099080;15.117;18.0;0.0;-118.807;-118.807;-131.322;-131.322;9.0;33.0;12.0
2025-04-02T16:35:50.653132;17.163;18.0;0.0;-118.807;-118.807;-131.322;-131.322;13.0;4.0;52.0
2025-04-02T16:35:53.197810;18.083;15.95;0.0;-118.807;-118.807;-131.322;-131.322;16.0;38.0;12.0
2025-04-02T16:35:55.761522;16.92;11.93;0.0;-118.807;-118.807;-131.322;-131.322;20.0;11.0;32.0
2025-04-02T16:35:58.303406;14.666;9.81;0.0;-118.807;-118.807;-131.322;-131.322;23.0;43.0;12.0
2025-04-02T16:36:00.854706;13.139;11.24;0.0;-118.807;-118.807;-131.322;-131.322;3.0;16.0;32.0
2025-04-02T16:36:03.404403;13.525;15.01;0.0;-118.807;-118.807;-131.322;-131.322;6.0;48.0;12.0
2025-04-02T16:36:05.962460;15.651;18.0;0.0;-118.807;-118.807;-131.322;-131.322;10.0;21.0;32.0
2025-04-02T16:36:08.514001;17.487;18.0;0.0;-118.807;-118.807;-131.322;-131.322;13.0;54.0;52.0
2025-04-02T16:36:11.070878;17.974;14.93;0.0;-118.807;-118.807;-131.322;-131.322;17.0;28.0;12.0
2025-04-02T16:36:13.619463;16.492;11.17;0.0;-118.807;-118.807;-131.322;-131.322;20.0;59.0;52.0
2025-04-02T16:36:16.175171;14.169;9.78;0.0;-118.807;-118.807;-131.322;-131.322;0.0;31.0;32.0
2025-04-02T16:36:18.726084;12.971;11.95;0.0;-118.807;-118.807;-131.322;-131.322;4.0;4.0;52.0
2025-04-02T16:36:21.282919;13.852;15.98;0.0;-118.807;-118.807;-131.322;-131.322;7.0;38.0;12.0
2025-04-02T16:36:23.836591;16.134;18.0;0.0;-118.807;-118.807;-131.322;-131.322;11.0;9.0;52.0
2025-04-02T16:36:26.386889;17.771;18.0;0.0;-118.807;-118.807;-131.322;-131.322;14.0;43.0;12.0
2025-04-02T16:36:28.934115;17.73;13.99;0.0;-118.807;-118.807;-131.322;-131.322;18.0;14.0;52.0
2025-04-02T16:36:31.472071;15.934;10.56;4.075;-118.807;-118.807;-131.322;-131.322;21.0;46.0;32.0
2025-04-02T16:36:34.017241;13.738;9.96;4.075;-118.807;-118.807;-131.322;-131.322;1.0;19.0;52.0
2025-04-02T16:36:36.571407;12.943;12.73;0.0;-118.807;-118.807;-131.322;-131.322;4.0;51.0;32.0
2025-04-02T16:36:39.128072;14.279;16.88;0.0;-118.807;-118.807;-131.322;-131.322;8.0;24.0;52.0
2025-04-02T16:36:41.666640;16.547;18.0;0.0;-118.807;-118.807;-131.322;-131.322;11.0;56.0;32.0
2025-04-02T16:36:44.201268;17.962;17.25;0.0;-118.807;-118.807;-131.322;-131.322;15.0;28.0;12.0
2025-04-02T16:36:46.741184;17.428;13.11;0.0;-118.807;-118.807;-131.322;-131.322;18.0;59.0;52.0
2025-04-02T16:36:49.294276;15.378;10.08;4.075;-118.807;-118.807;-131.322;-131.322;22.0;33.0;12.0
2025-04-02T16:36:51.834357;13.419;10.29;4.075;-118.807;-118.807;-131.322;-131.322;2.0;4.0;52.0
2025-04-02T16:36:54.376765;13.056;13.54;0.0;-118.807;-118.807;-131.322;-131.322;5.0;36.0;32.0
2025-04-02T16:36:56.916806;14.722;17.67;0.0;-118.807;-118.807;-131.322;-131.322;9.0;8.0;12.0
2025-04-02T16:36:59.456694;16.874;18.0;0.0;-118.807;-118.807;-131.322;-131.322;12.0;39.0;52.0
2025-04-02T16:37:02.009972;18.024;16.39;0.0;-118.807;-118.807;-131.322;-131.322;16.0;11.0;32.0
2025-04-02T16:37:04.552757;17.072;12.31;0.0;-118.807;-118.807;-131.322;-131.322;19.0;43.0;12.0
2025-04-02T16:37:07.094031;14.867;9.78;4.075;-118.807;-118.807;-131.322;-131.322;23.0;14.0;52.0
2025-04-02T16:37:09.647784;13.145;10.75;4.075;-118.807;-118.807;-131.322;-131.322;2.0;48.0;12.0
2025-04-02T16:37:12.186196;13.227;14.36;0.0;-118.807;-118.807;-131.322;-131.322;6.0;19.0;52.0
2025-04-02T16:37:14.723336;15.192;18.0;0.0;-118.807;-118.807;-131.322;-131.322;9.0;51.0;32.0
2025-04-02T16:37:17.259760;17.193;18.0;0.0;-118.807;-118.807;-131.322;-131.322;13.0;23.0;12.0
2025-04-02T16:37:19.815826;17.963;15.47;0.0;-118.807;-118.807;-131.322;-131.322;16.0;56.0;32.0
2025-04-02T16:37:22.366032;16.668;11.54;2.239;-118.807;-118.807;-131.322;-131.322;20.0;28.0;12.0
2025-04-02T16:37:24.911522;14.363;9.63;4.075;-118.807;-118.807;-131.322;-131.322;23.0;59.0;52.0
2025-04-02T16:37:27.449182;12.94;11.33;3.409;-118.807;-118.807;-131.322;-131.322;3.0;31.0;32.0
2025-04-02T16:37:29.988873;13.467;15.2;0.0;-118.807;-118.807;-131.322;-131.322;7.0;3.0;12.0
2025-04-02T16:37:32.544555;15.69;18.0;0.0;-118.807;-118.807;-131.322;-131.322;10.0;36.0;32.0
2025-04-02T16:37:35.094236;17.508;18.0;0.0;-118.807;-118.807;-131.322;-131.322;14.0;9.0;52.0
2025-04-02T16:37:37.621124;17.819;14.59;0.0;-118.807;-118.807;-131.322;-131.322;17.0;39.0;52.0
2025-04-02T16:37:40.166246;16.218;10.88;4.075;-118.807;-118.807;-131.322;-131.322;21.0;11.0;32.0
2025-04-02T16:37:42.715770;13.921;9.66;4.075;-118.807;-118.807;-131.322;-131.322;0.0;44.0;52.0
2025-04-02T16:37:45.255535;12.825;12.02;0.0;-118.807;-118.807;-131.322;-131.322;4.0;16.0;32.0
2025-04-02T16:37:47.803886;13.79;16.07;0.0;-118.807;-118.807;-131.322;-131.322;7.0;48.0;12.0
2025-04-02T16:37:50.357612;16.093;18.0;8.701;146.45;146.45;-131.322;-131.322;11.0;21.0;32.0
2025-04-02T16:37:52.896756;17.742;17.8;8.703;146.45;146.45;-131.322;-131.322;14.0;53.0;12.0
2025-04-02T16:37:55.453575;17.56;13.64;10.0;146.45;146.45;192.812;192.812;18.0;26.0;32.0
2025-04-02T16:37:58.005672;15.643;10.28;6.455;146.45;146.45;192.812;192.812;21.0;58.0;12.0
2025-04-02T16:38:00.559113;13.507;9.89;6.455;146.45;146.45;192.812;192.812;1.0;31.0;32.0
2025-04-02T16:38:03.112258;12.81;12.82;10.0;146.45;146.45;192.812;192.812;5.0;3.0;12.0
2025-04-02T16:38:05.658102;14.239;16.99;10.0;146.45;146.45;192.812;192.812;8.0;36.0;32.0
2025-04-02T16:38:08.180482;16.51;18.0;10.0;146.45;146.45;192.812;192.812;12.0;6.0;32.0
2025-04-02T16:38:10.715879;17.895;16.94;10.0;146.45;146.45;192.812;192.812;15.0;38.0;12.0
2025-04-02T16:38:13.255699;17.238;12.8;10.0;146.45;146.45;192.812;192.812;19.0;9.0;52.0
2025-04-02T16:38:15.802495;15.108;9.86;1.455;146.45;146.45;192.812;192.812;22.0;41.0;32.0
2025-04-02T16:38:18.345254;13.205;10.23;1.455;146.45;146.45;192.812;192.812;2.0;13.0;12.0
2025-04-02T16:38:20.869997;12.92;13.55;10.0;146.45;146.45;192.812;192.812;5.0;43.0;12.0
2025-04-02T16:38:23.414540;14.633;17.67;10.0;-95.979;-95.979;192.812;192.812;9.0;16.0;32.0
2025-04-02T16:38:25.972454;16.843;18.0;10.0;-95.979;-95.979;192.812;192.812;12.0;48.0;12.0
2025-04-02T16:38:28.517598;17.919;16.07;0.0;-95.979;-95.979;-176.623;-176.623;16.0;21.0;32.0
2025-04-02T16:38:31.083107;16.839;11.97;0.0;-95.979;-95.979;-176.623;-176.623;19.0;54.0;52.0
2025-04-02T16:38:33.638568;14.555;9.57;0.0;-95.979;-95.979;-176.623;-176.623;23.0;28.0;12.0
2025-04-02T16:38:36.196373;12.928;10.79;0.0;-95.979;-95.979;-176.623;-176.623;3.0;1.0;32.0
2025-04-02T16:38:38.731085;13.15;14.51;0.0;-95.979;-95.979;-176.623;-176.623;6.0;33.0;12.0
2025-04-02T16:38:41.260892;15.187;18.0;0.0;-95.979;-95.979;-176.623;-176.623;10.0;3.0;12.0
2025-04-02T16:38:43.813375;17.208;18.0;0.0;-95.979;-95.979;-176.623;-176.623;13.0;36.0;32.0
2025-04-02T16:38:46.357565;17.837;15.11;0.0;-95.979;-95.979;-176.623;-176.623;17.0;8.0;12.0
2025-04-02T16:38:48.897339;16.441;11.24;0.0;-95.979;-95.979;-176.623;-176.623;20.0;38.0;12.0
2025-04-02T16:38:51.435856;14.102;9.47;0.0;-95.979;-95.979;-176.623;-176.623;0.0;11.0;32.0
2025-04-02T16:38:54.000463;12.759;11.4;0.0;-95.979;-95.979;-176.623;-176.623;3.0;44.0;52.0
