tempA;otemp
11.037;11.05
11.037;11.05
11.037;11.05
11.038;11.05
10.283;11.35
11.405;14.04
14.078;17.84
16.458;17.9
16.984;14.16
15.429;10.23
13.148;8.64
11.929;10.89
12.669;14.99
15.03;18.0
17.003;17.3
16.976;13.39
15.088;9.71
12.893;8.84
11.975;11.63
13.121;15.83
15.608;18.0
17.246;16.56
16.679;12.44
14.587;9.2
12.57;9.25
12.07;12.54
13.645;16.7
16.082;18.0
17.347;15.79
16.374;11.63
14.12;8.91
12.347;9.8
12.293;13.49
14.227;17.52
16.545;18.0
17.339;14.9
15.982;10.86
13.653;8.79
12.194;10.52
12.605;14.45
14.836;18.0
16.938;17.9
17.22;13.99
15.54;10.2
13.247;8.88
12.14;11.3
13.01;15.41
15.411;18.0
17.242;17.2
17.015;13.13
15.054;9.65
12.927;9.15
12.16;12.14
13.446;16.28
15.888;18.0
17.412;16.46
16.733;12.33
14.6;9.27
12.669;9.58
12.296;12.96
13.995;17.1
16.378;18.0
17.5;15.63
16.416;11.54
14.154;9.03
12.454;10.16
12.554;13.91
14.573;17.87
16.701;18.0
17.494;14.99
16.244;11.22
13.921;9.0
12.394;10.52
12.706;14.34
14.812;18.0
16.923;18.0
17.409;14.39
15.998;10.72
13.637;9.02
12.343;11.07
12.994;15.07
15.323;18.0
17.231;17.76
17.278;13.68
15.487;10.06
13.261;9.21
12.322;11.93
13.456;16.05
15.887;18.0
17.512;16.9
17.021;12.77
14.98;9.6
12.945;9.58
12.426;12.79
13.964;16.93
16.33;18.0
17.618;16.14
16.722;12.0
14.511;9.3
12.726;10.07
12.632;13.63
14.513;17.72
16.771;18.0
17.639;15.32
16.39;11.31
14.063;9.17
12.566;10.73
12.931;14.55
15.066;18.0
17.106;18.0
17.534;14.44
15.969;10.62
13.67;9.22
12.484;11.42
13.267;15.44
15.598;18.0
17.416;17.66
17.336;13.58
15.475;10.07
13.319;9.46
12.482;12.32
13.767;16.45
16.182;18.0
17.663;16.85
17.074;12.68
15.003;9.66
13.015;9.87
12.63;13.15
14.277;17.29
16.583;18.0
17.752;16.01
16.759;11.93
14.522;9.4
12.808;10.42
12.878;14.09
14.84;18.0
16.974;18.0
17.732;15.17
16.389;11.21
14.099;9.33
12.684;11.06
13.19;14.94
15.396;18.0
17.289;18.0
17.604;14.33
15.983;10.61
13.695;9.43
12.616;11.81
13.586;15.9
15.943;18.0
17.612;17.53
17.4;13.44
15.532;10.06
13.409;9.71
12.695;12.63
14.086;16.8
16.407;18.0
17.783;16.69
17.072;12.53
14.998;9.69
13.106;10.22
12.914;13.63
14.677;17.77
16.826;18.0
17.851;15.8
16.745;11.77
14.507;9.5
12.901;10.76
13.124;14.54
15.17;18.0
17.174;18.0
17.761;14.89
16.354;11.07
14.067;9.49
12.807;11.47
13.457;15.39
15.714;18.0
17.54;18.0
17.641;14.09
15.902;10.51
13.679;9.66
12.745;12.28
13.869;16.31
16.206;18.0
17.756;17.38
17.395;13.24
15.485;10.08
13.445;9.96
12.887;12.99
